epoch,train_accuracy,train_loss,val_accuracy,val_loss,best_epoch
1,0.6499488353729248,0.9721842408180237,0.7268518805503845,0.6942949891090393,1
2,0.7465028762817383,0.6986994743347168,0.8160535097122192,0.5860100388526917,2
3,0.7775503396987915,0.5939205288887024,0.8078703880310059,0.4852316677570343,3
4,0.7987034916877747,0.5083425045013428,0.7926421165466309,0.4986874461174011,4
5,0.8410099148750305,0.43549060821533203,0.8240740895271301,0.48405882716178894,5
6,0.8628454208374023,0.3741791546344757,0.785953164100647,0.548480212688446,5
7,0.8822927474975586,0.32095280289649963,0.8055555820465088,0.5843486785888672,7
8,0.9051518440246582,0.2716071307659149,0.7123745679855347,0.8540775179862976,7
9,0.9286932945251465,0.2179233431816101,0.7824074029922485,0.7309987545013428,9
10,0.935516893863678,0.18513496220111847,0.7959865927696228,0.6558670997619629,10
11,0.9508700370788574,0.15985527634620667,0.7800925970077515,0.8394748568534851,10
12,0.9426816701889038,0.1642855554819107,0.8160535097122192,0.7099148035049438,12
13,0.9539406299591064,0.13315974175930023,0.7870370149612427,0.9092690944671631,12
14,0.9563288688659668,0.12848542630672455,0.8127090334892273,0.7473084330558777,14
15,0.9706584811210632,0.09927258640527725,0.8032407164573669,0.7989934086799622,15
16,0.9682702422142029,0.09195360541343689,0.7190635204315186,1.0088506937026978,15
17,0.9648584127426147,0.12660974264144897,0.8333333134651184,0.6699312925338745,17
18,0.9611054062843323,0.12914003431797028,0.8227424621582031,0.9221688508987427,17
19,0.9607642292976379,0.12307469546794891,0.8101851940155029,0.7740120887756348,17
20,0.97475266456604,0.07577892392873764,0.8093645572662354,0.8064470291137695,17
21,0.9812350869178772,0.05524672195315361,0.8310185074806213,0.817376971244812,21
22,0.9764585494995117,0.06622685492038727,0.7625418305397034,1.062394618988037,21
23,0.9686114192008972,0.08889343589544296,0.8333333134651184,0.8289093375205994,21
24,0.9771409034729004,0.06697169691324234,0.7926421165466309,1.0455862283706665,21
25,0.9771409034729004,0.0682760700583458,0.7986111044883728,0.9832289218902588,21
26,0.9819174408912659,0.04927145689725876,0.8394649028778076,0.8092542290687561,26
27,0.9761173725128174,0.06214545667171478,0.8171296119689941,0.9515958428382874,26
28,0.9843056797981262,0.05160560458898544,0.8260869383811951,1.0009896755218506,26
29,0.9737290740013123,0.07378576695919037,0.8125,0.9307546019554138,26
30,0.9716820120811462,0.07789266109466553,0.8628762364387512,0.6129767894744873,30
31,0.9754350185394287,0.07546486705541611,0.8194444179534912,0.8841018080711365,30
32,0.9846468567848206,0.04465419426560402,0.7926421165466309,1.2290867567062378,30
33,0.9822586178779602,0.050175391137599945,0.8518518805503845,0.8317052125930786,30
34,0.9788467884063721,0.06301047652959824,0.8227424621582031,0.836671769618988,30
35,0.9669054746627808,0.10458007454872131,0.8356481194496155,1.0343562364578247,30
36,0.9798703789710999,0.05939461663365364,0.832775890827179,0.8821201920509338,30
37,0.9805527329444885,0.043273478746414185,0.8032407164573669,1.2736437320709229,30
38,0.9689525961875916,0.08734390884637833,0.829431414604187,0.7659304738044739,30
39,0.9788467884063721,0.05591566488146782,0.8240740895271301,0.9088187217712402,30
40,0.9815762639045715,0.04097267612814903,0.832775890827179,1.09536612033844,30
41,0.9825997948646545,0.055530793964862823,0.7731481194496155,1.2176802158355713,30
42,0.97475266456604,0.07604490965604782,0.8127090334892273,1.0088931322097778,30
43,0.9808939099311829,0.05422256886959076,0.8171296119689941,1.063739538192749,30
44,0.9849880337715149,0.04339274391531944,0.8060200810432434,1.0430139303207397,30
45,0.9696349501609802,0.08503945171833038,0.8125,0.8957197666168213,30
